STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDFM,WESD,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT19
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,09/02/2004,,2.46,1601,1600,0,,,,58,69,47,,0,270,270,,,,8.9,13,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,10/02/2004,,1.34,1557,1427,0,,,,56,69,43,,0,210,270,,,,8.1,13,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,11/02/2004,,1.12,1536,1508,0,,,,57,69,44,,,270,270,,,,6.9,10.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,12/02/2004,,1.12,1630,1615,0,,,,58,71,45,,0,260,270,,,,8.1,12.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,13/02/2004,,1.79,1642,1534,0,,,,55,66,44,,0,280,260,,,,8.1,12.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,14/02/2004,,1.57,1625,1633,0,,,,56,66,45,,0,260,270,,,,12.1,17.9,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,15/02/2004,,1.79,1646,1248,0,,,,54,64,44,,0,270,260,,,,8.1,13,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,16/02/2004,,2.24,1636,1636,0,,,,60,68,51,,0,270,270,,,,8.1,10.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,17/02/2004,,1.34,1716,1538,0,,,,63,75,50,,0,270,270,,,,8.1,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,18/02/2004,,1.57,2343,1327,0.18,,,,54,58,49,,0,290,230,,,,8.1,14.1,,,1,1,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,19/02/2004,,2.01,1419,1414,0,,,,56,64,47,,0,260,270,,,,8.9,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,20/02/2004,,1.34,1709,1641,0.01,,,,56,60,52,,0,270,270,,,,8.9,15,,,,,,,,,1,,,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,21/02/2004,,4.25,2141,2317,0.62,,,,54,57,51,,0,60,40,,,,8.9,15,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,22/02/2004,,4.7,1444,1559,0.44,,,,57,63,51,,0,150,150,,,,10.1,17,,,1,,,,,,,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,23/02/2004,,2.68,1454,1318,0.04,,,,57,62,51,,0,270,270,,,,8.9,14.1,,,1,,,,,,,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,24/02/2004,,2.46,1521,1541,0,,,,57,62,51,,0,270,270,,,,8.9,13,,,,,,,,,,,,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,25/02/2004,,3.58,2348,1301,2.03,,,,57,62,51,,0,150,150,,,,8.9,14.1,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,26/02/2004,,4.25,1650,247,0.82,,,,57,63,50,,0,260,160,,,,10.1,21,,,1,,,,,,,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,27/02/2004,,3.13,1508,1505,0.01,,,,54,62,46,,0,270,260,,,,15,23,,,,,,,,,,,,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,28/02/2004,,4.92,1414,1243,0,,,,58,65,50,,0,260,260,,,,13,17.9,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,29/02/2004,,2.24,1519,1551,0,,,,57,64,50,,0,270,270,,,,10.1,15,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,01/03/2004,,3.13,2324,1351,0.9,,,,56,62,49,,,100,210,,,,12.1,16.1,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,02/03/2004,,2.68,1831,57,0.27,,,,56,63,48,,,160,50,,,,8.9,15,,,1,,,,,,,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,03/03/2004,,2.46,1848,1850,0,,,,61,75,47,,,290,300,,,,8.1,12.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,04/03/2004,,2.91,1551,1520,0,,,,60,67,52,,,270,260,,,,8.9,15,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,05/03/2004,,2.24,1617,1616,0,,,,60,67,53,,,260,270,,,,8.9,14.1,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,06/03/2004,,1.12,1543,1543,0,,,,62,73,51,,,270,280,,,,8.9,14.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,07/03/2004,,1.12,1510,1420,0,,,,71,87,54,,,270,260,,,,8.1,12.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,08/03/2004,,2.24,1514,1345,0,,,,77,93,60,,,260,270,,,,10.1,16.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,09/03/2004,,2.24,1449,1458,0,,,,74,89,58,,,270,270,,,,10.1,13,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,10/03/2004,,1.79,1342,1302,0,,,,65,75,54,,,280,210,,,,8.1,12.1,,,1,1,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,11/03/2004,,2.68,1444,1326,0,,,,66,79,53,,,270,220,,,,8.1,12.1,,,1,1,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,12/03/2004,,2.46,1638,1638,0,,,,64,70,58,,,280,280,,,,10.1,14.1,,,1,,,,,,1,,1,,,,
